128, 1244, 9.72
256, 2064, 8.06
512, 3044, 5.95
1024, 4892, 4.78
2048, 8544, 4.17
4096, 15850, 3.87
8192, 30444, 3.72
16384, 59670, 3.64
128, 1244, 9.72
256, 2056, 8.03
512, 3042, 5.94
1024, 4890, 4.78
2048, 8540, 4.17
4096, 15850, 3.87
8192, 30456, 3.72
16384, 59624, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3042, 5.94
1024, 4894, 4.78
2048, 8544, 4.17
4096, 15854, 3.87
8192, 30454, 3.72
16384, 59666, 3.64
128, 1240, 9.69
256, 2058, 8.04
512, 3042, 5.94
1024, 4896, 4.78
2048, 8542, 4.17
4096, 15848, 3.87
8192, 30452, 3.72
16384, 59638, 3.64
128, 1234, 9.64
256, 2058, 8.04
512, 3046, 5.95
1024, 4894, 4.78
2048, 8542, 4.17
4096, 15848, 3.87
8192, 30454, 3.72
16384, 59644, 3.64
128, 1236, 9.66
256, 2058, 8.04
512, 3044, 5.95
1024, 4890, 4.78
2048, 8546, 4.17
4096, 15842, 3.87
8192, 30458, 3.72
16384, 59654, 3.64
128, 1238, 9.67
256, 2058, 8.04
512, 3042, 5.94
1024, 4892, 4.78
2048, 8542, 4.17
4096, 15850, 3.87
8192, 30440, 3.72
16384, 59658, 3.64
128, 1246, 9.73
256, 2054, 8.02
512, 3042, 5.94
1024, 4892, 4.78
2048, 8544, 4.17
4096, 15844, 3.87
8192, 30454, 3.72
16384, 59666, 3.64
128, 1246, 9.73
256, 2054, 8.02
512, 3044, 5.95
1024, 4894, 4.78
2048, 8544, 4.17
4096, 15852, 3.87
8192, 30462, 3.72
16384, 59642, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3042, 5.94
1024, 4890, 4.78
2048, 8542, 4.17
4096, 15848, 3.87
8192, 30454, 3.72
16384, 59654, 3.64
128, 1238, 9.67
256, 2054, 8.02
512, 3042, 5.94
1024, 4896, 4.78
2048, 8544, 4.17
4096, 15846, 3.87
8192, 30450, 3.72
16384, 59642, 3.64
