128, 490, 3.83
256, 490, 1.91
512, 492, 0.96
1024, 922, 0.90
2048, 1786, 0.87
4096, 3508, 0.86
8192, 6948, 0.85
16384, 13828, 0.84
128, 494, 3.86
256, 492, 1.92
512, 492, 0.96
1024, 926, 0.90
2048, 1780, 0.87
4096, 3500, 0.85
8192, 6946, 0.85
16384, 13832, 0.84
128, 492, 3.84
256, 492, 1.92
512, 494, 0.96
1024, 928, 0.91
2048, 1786, 0.87
4096, 3498, 0.85
8192, 6946, 0.85
16384, 13828, 0.84
128, 498, 3.89
256, 496, 1.94
512, 492, 0.96
1024, 924, 0.90
2048, 1778, 0.87
4096, 3504, 0.86
8192, 6952, 0.85
16384, 13832, 0.84
128, 496, 3.88
256, 492, 1.92
512, 494, 0.96
1024, 926, 0.90
2048, 1786, 0.87
4096, 3506, 0.86
8192, 6940, 0.85
16384, 13824, 0.84
128, 490, 3.83
256, 490, 1.91
512, 492, 0.96
1024, 914, 0.89
2048, 1788, 0.87
4096, 3500, 0.85
8192, 6948, 0.85
16384, 13826, 0.84
128, 492, 3.84
256, 492, 1.92
512, 496, 0.97
1024, 926, 0.90
2048, 1784, 0.87
4096, 3500, 0.85
8192, 6958, 0.85
16384, 13826, 0.84
128, 490, 3.83
256, 492, 1.92
512, 496, 0.97
1024, 918, 0.90
2048, 1784, 0.87
4096, 3500, 0.85
8192, 6950, 0.85
16384, 13836, 0.84
128, 492, 3.84
256, 494, 1.93
512, 498, 0.97
1024, 926, 0.90
2048, 1786, 0.87
4096, 3510, 0.86
8192, 6944, 0.85
16384, 13820, 0.84
128, 496, 3.88
256, 494, 1.93
512, 492, 0.96
1024, 920, 0.90
2048, 1784, 0.87
4096, 3494, 0.85
8192, 6952, 0.85
16384, 13826, 0.84
128, 494, 3.86
256, 492, 1.92
512, 494, 0.96
1024, 926, 0.90
2048, 1782, 0.87
4096, 3514, 0.86
8192, 6944, 0.85
16384, 13826, 0.84
