128, 176, 1.38
256, 314, 1.23
512, 448, 0.88
1024, 734, 0.72
2048, 1272, 0.62
4096, 2376, 0.58
8192, 4578, 0.56
16384, 8984, 0.55
128, 174, 1.36
256, 314, 1.23
512, 452, 0.88
1024, 724, 0.71
2048, 1276, 0.62
4096, 2370, 0.58
8192, 4586, 0.56
16384, 8980, 0.55
128, 178, 1.39
256, 300, 1.17
512, 450, 0.88
1024, 724, 0.71
2048, 1274, 0.62
4096, 2376, 0.58
8192, 4576, 0.56
16384, 8986, 0.55
128, 176, 1.38
256, 310, 1.21
512, 450, 0.88
1024, 724, 0.71
2048, 1278, 0.62
4096, 2372, 0.58
8192, 4572, 0.56
16384, 8976, 0.55
128, 180, 1.41
256, 310, 1.21
512, 446, 0.87
1024, 722, 0.71
2048, 1284, 0.63
4096, 2374, 0.58
8192, 4588, 0.56
16384, 8986, 0.55
128, 180, 1.41
256, 310, 1.21
512, 452, 0.88
1024, 728, 0.71
2048, 1268, 0.62
4096, 2372, 0.58
8192, 4586, 0.56
16384, 8988, 0.55
128, 180, 1.41
256, 314, 1.23
512, 448, 0.88
1024, 736, 0.72
2048, 1274, 0.62
4096, 2372, 0.58
8192, 4578, 0.56
16384, 8974, 0.55
128, 178, 1.39
256, 310, 1.21
512, 446, 0.87
1024, 722, 0.71
2048, 1266, 0.62
4096, 2374, 0.58
8192, 4580, 0.56
16384, 8988, 0.55
128, 176, 1.38
256, 316, 1.23
512, 448, 0.88
1024, 714, 0.70
2048, 1272, 0.62
4096, 2372, 0.58
8192, 4576, 0.56
16384, 8976, 0.55
128, 178, 1.39
256, 308, 1.20
512, 452, 0.88
1024, 726, 0.71
2048, 1274, 0.62
4096, 2374, 0.58
8192, 4578, 0.56
16384, 8986, 0.55
128, 178, 1.39
256, 308, 1.20
512, 452, 0.88
1024, 718, 0.70
2048, 1272, 0.62
4096, 2374, 0.58
8192, 4580, 0.56
16384, 8980, 0.55
